Airline,Departure_Time,Arrival_Time,Duration,Departure,Destination,Date,Total_Stops,SClass,Price
Bamboo Airways,05:45,07:05,80,SGN,DAD,17-04-2025,0,BUSINESS,2395000
Vietnam Airlines,10:20,11:20,60,SGN,DLI,15-04-2025,0,BUSINESS,4474000
Bamboo Airways,16:00,18:20,140,VCS,HAN,21-04-2025,0,PREMIUM_ECONOMY,5858000
Vietnam Airlines,10:50,12:50,120,SGN,VII,20-04-2025,0,ECONOMY,2632000
Bamboo Airways,12:10,13:35,85,BMV,VII,20-04-2025,0,ECONOMY,1707000
Vietnam Airlines,06:00,20:50,890,DAD,VDO,19-04-2025,1,ECONOMY,1993000
Vietnam Airlines,10:10,19:10,540,VCA,VDH,20-04-2025,1,ECONOMY,2561000
Bamboo Airways,10:25,11:20,55,SGN,VCS,20-04-2025,0,ECONOMY,1932000
Vietnam Airlines,09:15,20:20,665,VII,THD,15-04-2025,1,ECONOMY,2781000
VietJet Air,09:35,11:10,95,VDH,SGN,18-04-2025,0,ECONOMY,1310900
Vietnam Airlines,08:05,10:15,130,SGN,HPH,15-04-2025,0,ECONOMY,2395000
Vietnam Airlines,09:40,19:00,560,VCS,HPH,20-04-2025,1,ECONOMY,3766000
VietJet Air,14:10,15:45,95,PQC,VII,20-04-2025,0,ECONOMY,1681900
VietJet Air,13:35,14:55,80,SGN,DAD,16-04-2025,0,ECONOMY,1044900
Bamboo Airways,07:20,09:40,140,HAN,SGN,18-04-2025,0,ECONOMY,1778000
VietJet Air,10:40,11:45,65,CXR,DAD,17-04-2025,0,PREMIUM_ECONOMY,3169800
Vietnam Airlines,17:00,18:10,70,VCS,SGN,19-04-2025,0,PREMIUM_ECONOMY,2539000
Vietnam Airlines,14:35,20:35,360,DAD,HPH,16-04-2025,1,ECONOMY,5992000
Vietnam Airlines,17:45,19:10,85,HAN,VDH,20-04-2025,0,ECONOMY,1255000
Vietnam Airlines,09:30,19:10,580,UIH,VDH,21-04-2025,1,ECONOMY,2974000
Vietnam Airlines,10:50,12:50,120,SGN,VII,18-04-2025,0,ECONOMY,1945000
VietJet Air,18:05,19:30,85,DAD,SGN,21-04-2025,0,ECONOMY,2013900
Vietnam Airlines,10:15,11:55,100,DAD,HAN,20-04-2025,0,BUSINESS,4909000
Vietnam Airlines,08:00,18:20,620,DLI,VCL,17-04-2025,1,ECONOMY,2004000
VietJet Air,13:40,15:05,85,DAD,SGN,15-04-2025,0,ECONOMY,1499900
Vietnam Airlines,09:00,19:50,650,CXR,DLI,16-04-2025,1,ECONOMY,2072000
Vietnam Airlines,06:00,12:45,405,HAN,PQC,16-04-2025,1,ECONOMY,4093000
VietJet Air,07:50,09:00,70,TBB,SGN,16-04-2025,0,PREMIUM_ECONOMY,2987000
VietJet Air,11:50,13:35,105,VII,PQC,15-04-2025,0,ECONOMY,1342000
Bamboo Airways,12:55,14:35,100,HAN,UIH,20-04-2025,0,BUSINESS,3088000
Vietnam Airlines,06:20,15:00,520,HAN,TBB,15-04-2025,1,ECONOMY,3164000
Vietnam Airlines,09:25,15:00,335,VCS,TBB,20-04-2025,1,ECONOMY,3009000
Bamboo Airways,15:20,17:30,130,HAN,PQC,15-04-2025,0,PREMIUM_ECONOMY,3776000
VietJet Air,08:40,09:45,65,UIH,SGN,19-04-2025,0,ECONOMY,936900
Bamboo Airways,21:10,23:15,125,PQC,HAN,16-04-2025,0,BUSINESS,3751000
Vietnam Airlines,10:05,19:20,555,VDH,UIH,15-04-2025,1,ECONOMY,3509000
Vietnam Airlines,06:00,08:15,135,HAN,SGN,19-04-2025,0,BUSINESS,5989000
Vietnam Airlines,11:05,22:50,705,UIH,DAD,18-04-2025,1,ECONOMY,2065000
VietJet Air,19:50,21:50,120,THD,SGN,21-04-2025,0,ECONOMY,1302000
Vietnam Airlines,15:40,23:15,455,TBB,HAN,19-04-2025,1,ECONOMY,3943000
Vietnam Airlines,15:55,17:20,85,HUI,HAN,16-04-2025,0,BUSINESS,3479000
Vietnam Airlines,09:40,14:10,270,VCS,CAH,18-04-2025,1,ECONOMY,3138000
VietJet Air,20:15,22:15,120,SGN,HPH,18-04-2025,0,ECONOMY,1302000
Bamboo Airways,10:45,12:15,90,HPH,UIH,21-04-2025,0,ECONOMY,1561000
Vietnam Airlines,16:35,17:55,80,HAN,HUI,21-04-2025,0,BUSINESS,3444000
Vietnam Airlines,08:40,10:25,105,PXU,HAN,21-04-2025,0,BUSINESS,3884000
Vietnam Airlines,09:15,10:40,85,TBB,SGN,21-04-2025,0,ECONOMY,1136000
Vietnam Airlines,13:05,14:55,110,HAN,UIH,21-04-2025,0,ECONOMY,1739000
Vietnam Airlines,11:05,17:15,370,UIH,HAN,16-04-2025,1,BUSINESS,11828000
Vietnam Airlines,11:20,20:40,560,VII,DAD,20-04-2025,1,ECONOMY,4401000
Bamboo Airways,11:20,13:00,100,UIH,HAN,19-04-2025,0,PREMIUM_ECONOMY,2760000
Vietnam Airlines,15:35,22:15,400,VCL,SGN,20-04-2025,1,BUSINESS,8638000
VietJet Air,15:30,16:40,70,PQC,SGN,20-04-2025,0,PREMIUM_ECONOMY,3037000
Vietnam Airlines,08:00,16:25,505,DLI,DAD,15-04-2025,1,BUSINESS,9193000
VietJet Air,16:15,18:00,105,HAN,BMV,16-04-2025,0,ECONOMY,1112000
Bamboo Airways,09:10,11:20,130,VCA,HAN,16-04-2025,0,PREMIUM_ECONOMY,3154000
VietJet Air,19:05,20:55,110,VII,SGN,17-04-2025,0,ECONOMY,946900
VietJet Air,20:20,21:25,65,UIH,SGN,20-04-2025,0,ECONOMY,936900
Vietnam Airlines,08:55,14:10,315,PQC,CAH,18-04-2025,1,ECONOMY,2595000
VietJet Air,08:20,10:00,100,UIH,HAN,15-04-2025,0,PREMIUM_ECONOMY,3605600
VietJet Air,10:30,12:35,125,HPH,PQC,19-04-2025,0,ECONOMY,774000
Vietnam Airlines,06:35,18:15,700,VKG,HAN,18-04-2025,1,ECONOMY,4819000
Vietnam Airlines,09:30,14:55,325,HPH,CXR,20-04-2025,1,BUSINESS,8988000
Vietnam Airlines,09:15,15:00,345,TBB,CXR,21-04-2025,1,ECONOMY,2047000
VietJet Air,19:50,21:50,120,THD,SGN,19-04-2025,0,PREMIUM_ECONOMY,4657000
Vietnam Airlines,09:15,15:00,345,TBB,CXR,21-04-2025,1,ECONOMY,2047000
Vietnam Airlines,06:50,19:50,780,VCS,CXR,20-04-2025,1,ECONOMY,2312000
Bamboo Airways,08:20,09:45,85,SGN,HUI,18-04-2025,0,PREMIUM_ECONOMY,2365000
Bamboo Airways,10:45,19:50,545,CXR,HUI,17-04-2025,1,ECONOMY,2907000
Vietnam Airlines,05:50,07:20,90,HAN,DAD,21-04-2025,0,BUSINESS,3679000
VietJet Air,18:10,19:45,95,PXU,HAN,15-04-2025,0,ECONOMY,1661900
Vietnam Airlines,13:20,20:35,435,PQC,HPH,16-04-2025,1,ECONOMY,2280000
Vietnam Airlines,08:10,09:20,70,SGN,VCS,21-04-2025,0,PREMIUM_ECONOMY,2594000
Vietnam Airlines,06:00,12:50,410,DAD,VII,21-04-2025,1,BUSINESS,7883000
Bamboo Airways,10:35,20:15,580,BMV,VCA,16-04-2025,1,ECONOMY,2475000
Vietnam Airlines,09:50,15:25,335,PXU,VCS,19-04-2025,1,ECONOMY,2549000
Vietnam Airlines,14:50,16:15,85,DAD,HAN,16-04-2025,0,ECONOMY,1389000
Vietnam Airlines,06:50,12:35,345,VCS,VCL,21-04-2025,1,ECONOMY,4065000
Vietnam Airlines,09:30,17:30,480,HPH,DAD,18-04-2025,1,ECONOMY,4396000
VietJet Air,17:45,19:20,95,VDH,SGN,18-04-2025,0,ECONOMY,1280900
VietJet Air,12:15,14:20,125,HAN,PQC,15-04-2025,0,PREMIUM_ECONOMY,4864800
Vietnam Airlines,08:00,13:40,340,DLI,DAD,19-04-2025,1,ECONOMY,3439000
Vietnam Airlines,16:55,18:10,75,PQC,SGN,20-04-2025,0,ECONOMY,703000
